,date,open,high,low,close,cje,volume,change,code,position,short_window,long_window,s-l,a50
142,2015/7/2,0.924,0.924,0.83,0.849,110.65,125906700,,strategy3data,0,1.0185,1.1534,-0.1349,11835
143,2015/7/3,0.8,0.908,0.764,0.767,114.05,141215400,,strategy3data,0,0.9786,1.141,-0.1624,11282.5
144,2015/7/6,0.844,0.844,0.746,0.79,144.4,180500500,,strategy3data,0,0.9501,1.125566667,-0.175466667,11927.5
145,2015/7/7,0.745,0.745,0.711,0.711,81.3,112789000,,strategy3data,0,0.9071,1.109333333,-0.202233333,11850
146,2015/7/8,0.64,0.64,0.64,0.64,5.62,8787800,,strategy3data,0,0.857,1.090666667,-0.233666667,10100
147,2015/7/9,0.576,0.704,0.576,0.704,204.88,322141000,,strategy3data,0,0.8206,1.074133333,-0.253533333,11865
148,2015/7/10,0.66,0.773,0.66,0.742,285.7,390581900,,strategy3data,0,0.7987,1.062866667,-0.264166667,12397.5
149,2015/7/13,0.703,0.758,0.668,0.698,341.49,483410200,,strategy3data,0,0.7795,1.0491,-0.2696,12235
150,2015/7/14,0.66,0.684,0.628,0.628,296.45,457217000,,strategy3data,0,0.7444,1.0293,-0.2849,11740
151,2015/7/15,0.6,0.615,0.565,0.565,138.04,237837700,,strategy3data,0,0.7094,1.005233333,-0.295833333,11670
152,2015/7/16,0.509,0.58,0.509,0.545,127.78,236780000,,strategy3data,0,0.679,0.981066667,-0.302066667,11900
153,2015/7/17,0.554,0.6,0.548,0.6,143.58,245367800,,strategy3data,0,0.6623,0.9591,-0.2968,12110
154,2015/7/20,0.623,0.66,0.62,0.66,219.56,339156300,,strategy3data,0,0.6493,0.939,-0.2897,11850
155,2015/7/21,0.65,0.709,0.636,0.698,121.34,178661600,,strategy3data,0,0.648,0.920933333,-0.272933333,11805
156,2015/7/22,0.698,0.756,0.685,0.741,168.92,237338300,,strategy3data,0,0.6581,0.9049,-0.2468,11710
157,2015/7/23,0.738,0.809,0.732,0.799,112.86,147053700,,strategy3data,0,0.6676,0.889433333,-0.221833333,12177.5
158,2015/7/24,0.8,0.811,0.725,0.749,155.22,198127400,,strategy3data,0,0.6683,0.871866667,-0.203566667,11875
159,2015/7/27,0.714,0.75,0.674,0.674,106.26,148648500,,strategy3data,0,0.6659,0.851366667,-0.185466667,10875
160,2015/7/28,0.607,0.672,0.607,0.624,127.82,203551400,,strategy3data,0,0.6655,0.830566667,-0.165066667,10857.5
161,2015/7/29,0.644,0.686,0.618,0.686,108.49,167066400,,strategy3data,0,0.6776,0.814133333,-0.136533333,11225
